,number_of_ACK,number_of_SYN,number_of_RST,number_of_PA,number_of_FA,number_of_SA,number_of_FPA,number_of_RA,ratio_syn_ack,ratio_ack_rst,ratio_syn_rst,number_sport_20percent,number_sport_35percent,number_sport_50percent,number_sport_75percent,number_dport_20percent,number_dport_35percent,number_dport_50percent,number_dport_75percent,number_src_20percent,number_src_35percent,number_src_50percent,number_src_75percent,number_dst_20percent,number_dst_35percent,number_dst_50percent,number_dst_75percent,average_IP_bytes,ratio_incom_to_outgo,number_uniq_ips,attack_aggregate
310,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
311,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
312,45,4,0,37,10,4,0,0,0.08888888888888889,45.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
313,46,5,0,36,8,5,0,0,0.10869565217391304,46.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
314,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
315,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
316,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
317,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
318,45,4,0,37,10,4,0,0,0.08888888888888889,45.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,2,1,1,0,67.32,1.0,3,0.0
319,46,5,0,36,8,5,0,0,0.10869565217391304,46.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.2,1.0,3,0.0
